Var1,Var2,Var3,Var4,Var5
532,3,14,0.652989470685011,85
532,3,15,4.3805823542328,98.3
532,3,16,1.30171622864352,86
532,3,17,6.93350458918177,100
532,3,18,-0.397915556700028,44.9
532,3,19,4.15484465748179,99.3
532,3,20,4.89350501878551,99
532,3,21,NaN,NaN
532,3,22,-1.40312547683183,0
532,3,23,-0.173431146529314,67
532,3,24,-0.449445755333581,26.8
532,3,25,-0.24863838730291,66.3
532,3,26,NaN,NaN
532,3,27,NaN,NaN
532,3,28,1.14634612414352,84.1
532,3,29,10.6946770790305,100
532,3,30,0.446459789646302,88.7
532,3,31,4.20440455794134,99.5
532,3,32,-0.799001258488238,2.9
532,3,33,-0.67103513305941,17.2
532,3,34,4.79577101636318,100
532,3,35,1.298961471768,94.3
532,3,36,3.89769619671258,98.7
532,3,37,-0.971874930136843,2.1
532,3,38,NaN,NaN
532,3,39,7.78061610620893,100
532,3,40,4.16988733841679,98.2
532,3,41,-0.591189720662738,6
532,3,42,-0.506489296447329,12.1
532,3,43,-0.645782581325584,9.6
532,3,44,-0.702959720704816,7
532,3,45,0.246468694458601,81.5
532,3,46,1.85930788671413,93
532,3,47,6.7350640423494,100
532,3,48,NaN,NaN
532,3,49,7.21372479223165,100
532,3,50,-0.549393542367619,12.2
532,3,51,-0.262436390515735,67.4
532,3,52,1.90667011158164,93.6
535,1,1,-0.242540979372022,47.8
535,1,2,1.98406684844989,95.5
535,1,3,0.428255405546591,75.8
535,1,4,2.24687147433815,97.1
535,1,5,-0.883469664311595,2.5
535,1,6,2.8367667114429,98.6
535,1,7,-0.955705834171848,7.3
535,1,8,-0.320524772149143,31.1
535,1,9,-0.274089431436014,59.7
535,1,10,0.351124083521785,72.8
535,1,11,-0.819299437932375,13.4
535,1,12,7.48675425249386,99.6
535,1,13,1.08973019165211,97.3
535,1,14,-0.955377532552891,8.9
535,1,15,0.0562468335909163,73.3
535,1,16,0.0950218214646343,84.8
535,1,17,NaN,NaN
535,1,18,NaN,NaN
535,1,19,-0.143788240573422,41
535,1,20,-0.490275733905365,10.4
535,1,21,-0.406746625188141,19
535,1,22,-0.577109814609459,24.7
535,1,23,-1.36581337514436,1.6
535,1,24,-0.0939215669799739,55.4
535,1,25,-0.383655351820808,28.9
535,1,26,2.39396977133861,97.9
535,1,27,0.817204915583548,82.2
535,1,28,0.647399601682232,80.2
535,1,29,-0.802779905676306,5.4
535,1,30,-0.0770833047543566,63.7
535,1,31,-0.310256522543491,27.5
535,1,32,1.15494406578054,88.6
535,1,33,0.580224303023027,78
535,1,34,7.37511457555664,99.8
535,1,35,3.56352944006433,99.2
535,1,36,14.6326284896186,99.9
535,1,37,0.629106319905694,89.9
535,1,38,0.195438655473782,75.9
535,1,39,1.45436427027653,93.6
535,1,40,0.0863942774843093,62.4
535,1,41,2.94370320335784,98.6
535,1,42,46.7588823837028,100
535,1,43,-0.600885082464511,5
535,1,44,15.1887661920352,100
535,1,45,0.911009443140573,85.5
535,1,46,-0.708662954679981,2.5
535,1,47,-0.266988649976088,68.5
535,1,48,4.65758693537074,99.7
535,1,49,-0.265925757277169,41.6
535,1,50,6.28885257916667,99.6
535,1,51,-0.185473596404835,50.5
535,1,52,-0.0745447572761759,52.5
535,2,1,2.72228076083673,97.1
535,2,2,-0.941919065933688,3.2
535,2,3,NaN,NaN
535,2,4,4.72174859157187,99
535,2,5,0.0387690717620857,77.6
535,2,6,1.76860579973095,94.6
535,2,7,0.336781835259861,83.4
535,2,8,-0.499470811086584,19.7
535,2,9,-0.725012153555123,2.8
535,2,10,-0.401446034812936,20.4
535,2,11,2.73280903598979,96.9
535,2,12,1.14329944360185,92.3
535,2,13,0.604201381053793,82.5
535,2,14,-0.193590548719392,63.1
535,2,15,NaN,NaN
535,2,16,1.52644702040021,91.8
535,2,17,0.0232540089277612,72.5
535,2,18,-0.710913837626882,4.7
535,2,19,1.8085749901744,93.9
535,2,20,1.43915988726829,93.4
535,2,21,-0.560824073538003,12.8
535,2,22,1.04578413104974,91.8
535,2,23,-0.552064150474742,8.8
535,2,24,7.51109126690486,99.7
535,2,25,-0.0466980446769787,67.7
535,2,26,0.943717102444391,90.2
535,2,27,-0.487124595458917,12.4
535,2,28,-0.426196197598045,24.2
535,2,29,-0.30327218561246,53.7
535,2,30,-1.44147084794737,0
535,2,31,-0.485151582928556,28.2
535,2,32,2.52997925158678,97.3
535,2,33,-0.36153537189717,56.9
535,2,34,2.46615744717951,96.9
535,2,35,0.150871728881586,71
535,2,36,3.73950035263068,98.3
535,2,37,3.27681849219201,98.1
535,2,38,2.62790090906065,97.6
535,2,39,1.32678023588914,91.2
535,2,40,1.07412263233635,91.6
535,2,41,0.405220330152593,76.5
535,2,42,0.874601289916727,88.6
535,3,1,-0.44079261679898,37
535,3,2,0.66729875100392,89.2
535,3,3,0.038634490498244,72.3
535,3,4,-0.338478597019488,63.6
535,3,5,NaN,NaN
535,3,6,0.338413558941868,82.4
535,3,7,4.4383270635443,99.1
535,3,8,4.79572773439395,99.3
