Animal,Epoch,Cell,Dev_Ptnr_post,Pval_Ptnr_post
532,3,52,2.584467042,98.8
535,1,1,-0.464853328,4
535,1,2,1.150358557,90.2
535,1,3,14.81585505,99.9
535,1,4,-0.303971937,36.2
535,1,5,0.4815225,78.1
535,1,6,-0.356910999,38.6
535,1,7,0.310214363,76.5
535,1,8,0.31567163,85.2
535,1,9,-0.262337924,29.4
535,1,10,-0.768726211,16.7
535,1,11,0.294520861,70.3
535,1,12,-0.162014363,63.9
535,1,13,-0.276833651,31.8
535,1,14,0.085494478,63.9
535,1,15,-0.383607661,38.5
535,1,16,0.493759153,89.2
535,1,17,-0.277581618,46.8
535,1,18,0.024566243,79.6
535,1,19,-0.433433086,31.9
535,1,20,-0.468581498,7.3
535,1,21,-1.250033614,5.7
535,1,22,0.41253222,76.8
535,1,23,0.560761477,82.2
535,1,24,-0.506582347,28.3
535,1,25,-0.175827225,50.8
535,1,26,-0.40144912,35.1
535,1,27,2.9476498,98.5
535,1,28,1.304890688,91.3
535,1,29,0.479692108,85.2
535,1,30,-0.250756451,27.7
535,1,31,1.376025761,92.6
535,1,32,0.631426716,83.7
535,1,33,1.21504899,88.5
535,1,34,0.569293396,79
535,1,35,-0.786664374,7.6
535,1,36,-0.067371112,58.8
535,1,37,-0.323142509,43.9
535,1,38,0.006654729,67.7
535,1,39,-0.777008995,10.3
535,1,40,-0.677341835,20.8
535,1,41,-0.242916216,46.4
535,1,42,1.033426339,87.5
535,1,43,0.328135427,70.5
535,1,44,33.81038636,100
535,1,45,-0.164480845,49.5
535,1,46,-0.906803619,9.4
535,1,47,-0.265396244,44.9
535,1,48,1.280083624,96.5
535,1,49,-1.039450656,10.3
535,1,50,-0.683717396,20.5
535,1,51,-0.662280377,9.8
535,1,52,-0.496220026,4.7
535,2,1,0.404316975,91.6
535,2,2,-0.261672272,56.9
535,2,3,-0.325822629,35.7
535,2,4,-0.164736964,68.5
535,2,5,-0.330670501,44
535,2,6,0.059885122,81
535,2,7,0.061210043,81.5
535,2,8,1.534637696,96.2
535,2,9,-0.196330011,19.6
535,2,10,4.865228646,99.1
535,2,11,-0.149725851,66.5
535,2,12,0.383507285,84.7
535,2,13,40.16913743,100
535,2,14,0.104189872,79.1
535,2,15,4.19845247,98.2
535,2,16,-0.154158352,64.3
535,2,17,-0.264170371,25.8
535,2,18,0.640604544,93.7
535,2,19,10.76033454,99.8
535,2,20,4.750562915,99.6
535,2,21,-0.321747545,41.5
535,2,22,-0.173103733,64.8
535,2,23,5.546513386,99.2
535,2,24,-0.265447025,54.4
535,2,25,0.959513791,94.6
535,2,26,-0.281637815,25.2
535,2,27,-0.462751989,9.5
535,2,28,-0.349769859,43.6
535,2,29,1.791126661,97
535,2,30,-0.684456377,7.5
535,2,31,-0.583219025,12
535,2,32,0.095315464,81.7
535,2,33,3.638984797,99.2
535,2,34,-0.540558943,4.2
535,2,35,5.19389464,99.4
535,2,36,5.460462898,99.5
535,2,37,0.611765581,88
535,2,38,0.350566351,84.7
535,2,39,-0.201841516,56.2
535,2,40,2.980742867,98.3
535,2,41,2.496262978,96.9
535,2,42,1.274980145,93.7
535,3,1,-0.540337198,21.2
535,3,2,0.334683366,84.4
535,3,3,-0.252259979,62.8
535,3,4,-0.424738492,32.4
535,3,5,-0.066432875,71.3
535,3,6,-0.556298309,4.3
535,3,7,5.950733703,99
535,3,8,3.034474075,97.8
535,3,9,-0.398212691,28.1
535,3,10,0.022121781,77.9
535,3,11,-0.535908346,9.4
535,3,12,-0.208167243,66.9
535,3,13,0.664076938,89.1
535,3,14,-0.424687203,16.6
535,3,15,4.054136526,98.4
535,3,16,-0.33903466,55.2
535,3,17,-0.485736919,23.6
535,3,18,0.334806079,82.7
535,3,19,0.424108406,84.8
535,3,20,-0.417780014,48.9
535,3,21,-0.796415024,0.7
535,3,22,0.538970443,84.7
535,3,23,-0.430633722,37
535,3,24,-0.465411672,27.8
535,3,25,-0.138755631,71.4
535,3,26,-0.407330816,36.8
535,3,27,-0.260803561,63.8
535,3,28,-0.248413975,67.8
535,3,29,-0.153707011,68.2
535,3,30,10.35683652,99.9
535,3,31,-0.388091623,18.7
535,3,32,-0.563119029,2.7
535,3,33,-0.022531593,72.6
535,3,34,-0.38423409,43.5
535,3,35,-0.143933175,67.1
535,3,36,4.440088246,98.5
535,3,37,-0.58404732,6.2
535,3,38,-0.377455217,41
535,3,39,-0.348617383,40.6
535,3,40,1.472944249,93.4
535,3,41,-0.392585197,30.9
535,3,42,-0.494192896,23.9
535,3,43,-0.454030466,31.1
535,3,44,-0.036288539,71.4
535,3,45,0.011053975,72.8
543,1,1,NaN,NaN
543,1,2,NaN,NaN
543,1,3,1.7171741,96.8
543,1,4,NaN,NaN
543,1,5,0.015241268,57.1
543,1,6,-0.368665685,33.4
543,1,7,-1.803313772,2.6
543,1,8,NaN,NaN
543,1,9,-0.145447291,56.6
543,1,10,-0.497573393,23.6
543,1,11,-0.220531733,49.9
543,1,12,-0.259105491,37.1
543,1,13,0.189027221,72.2
543,1,14,-0.397652913,27.3
543,1,15,-0.747883691,11.2
543,1,16,-0.385263008,29
543,1,17,0.127161502,73.4
543,1,18,-0.632621218,20.9
543,1,19,-0.337322661,29.6
543,1,20,0.29981023,68.4
543,1,21,-0.773410579,12.9
543,1,22,-0.822951007,14.6
543,1,23,0.309229096,81.2
543,1,24,-0.129134408,58.5
543,1,25,-0.258356832,36.5
543,1,26,0.475361863,80.2
543,1,27,0.020505371,60.8
543,1,28,-0.212112671,43.7
543,1,29,-0.31137867,30
543,1,30,0.714853627,82.3
543,1,31,-0.842890822,15.1
543,1,32,-0.470474514,21.1
543,1,33,0.204429649,67.3
543,1,34,-0.335429998,30.5
543,1,35,-0.085655286,62.7
543,1,36,-0.206025331,53.5
543,1,37,-0.328798652,31.1
543,1,38,-1.256814607,7.5
543,1,39,-0.546881071,23.4
543,1,40,-0.912175782,10.1
543,1,41,0.190537406,76.4
543,1,42,-1.047718652,3.4
543,1,43,0.008335935,58.3
543,1,44,0.411992789,77.7
543,1,45,0.229712131,72
543,1,46,-0.308962208,42.3
543,2,1,0.135641513,60.3
543,2,2,0.197884936,63.1
543,2,3,-0.963627627,12.8
543,2,4,-0.303438139,34.1
543,2,5,-0.994507493,12.4
543,2,6,0.157593008,60.6
543,2,7,-0.1201548,44
543,2,8,2.967783888,99
543,2,9,0.104875837,57.2
543,2,10,0.393669678,71
543,2,11,0.214533208,62.2
543,2,12,-0.141477508,44.2
543,2,13,-0.342974087,31.8
543,2,14,0.257139456,66.6
543,2,15,0.1706638,59.4
543,2,16,0.10431799,56.9
543,2,17,-1.607963594,4.5
543,2,18,4.978844841,100
543,2,19,-1.333730791,7.1
543,2,20,1.357063459,92
543,2,21,-1.083496739,11.9
543,2,22,-1.107114204,11.8
543,2,23,-0.025512605,51
543,2,24,0.847109866,82.4
543,2,25,-0.160078129,42.3
543,2,26,0.244400491,64.3
543,2,27,-0.225716332,37.6
543,2,28,-0.101838279,45.1
543,2,29,0.280787158,67.5
543,2,30,-0.24365772,38.8
543,2,31,0.042537008,52.1
543,2,32,-1.742110887,4.1
543,2,33,-1.019669201,12.8
543,2,34,0.649550067,78.1
543,2,35,0.833439348,82.6
